Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",HANEEFA NURSING COLLEGE SOPORE (Id: C-63966),Affiliated College,"Mazbugh Road Near Fruit Mandi Sopore, , Sopore",www.haneefacollege.org,Private Aided,2020,No,Rural,,2020,2020
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","JAN BAZ WALI COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45966)",Affiliated College,"NADI HAL (RAFI-ABAD) BARAMULLA, NADI HAL (RAFI-ABAD) BARAMULLA, BARAMULLA",www.jbwet.com,Private Un-Aided,1996,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","JEHLUM EDUCATION TRUST, BARAMULLAH (Id: C-45967)",Affiliated College,"KANISPORA BARAMULLA, JET COLLEGE OF EDUCATION BARAMULLA, BARAMULLA",www.jetcollege.com,Private Un-Aided,1996,No,Rural,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","KASHMIR COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45968)",Affiliated College,"MODEL TOWN, SOPORE",www.kashmircollegeofeducation.net,Private Un-Aided,2002,No,Rural,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","KASHMIR PARADISE COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45969)",Affiliated College,"Parihaspora, Pattan, Baramulla",,Private Un-Aided,2004,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","KASHMIR WOMENS COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45970)",Affiliated College,"NEAR PIR BABA (MOMINABAD), NOORBAGH, SOPORE",http://kwcedu.net,Private Un-Aided,2002,Education/Teacher Education,Urban,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","M.E.T,Teachers Training College Sopore, Kashmir (Id: C-21452)",Constituent / University College,"MET College of Education  Tulbal Road Sopore, MET Sopore, Sopore",www.campus.net,Private Un-Aided,1968,Education/Teacher Education,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)","MOTHER TERESA MEMORIAL COLLEGE OF EDUCATION, TANGMARG (Id: C-46005)",Affiliated College,"WUSSAN KARHAMA, TANGMARG, BARAMULLA",http://www.mtmsociety.com,Private Un-Aided,2002,Education/Teacher Education,Rural,,2020,2011
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",North Campus Baramullah (Id: C-21422),PG Center / Off-Campus Center,"Delina, Baramulla",http://northcampus.uok.edu.in,University,2009,No,Rural,,2020,2010
Jammu and Kashmir,Baramulla,State Public University ,"University of Kashmir, Srinagar (Id: U-0196)",NURSING COLLEGE GOVERNMENT MEDICAL COLLEGE BARAMULLA (Id: C-63978),Affiliated College,"Old hospital Near Main Chowk Baramulla, Old Hospital Near Main Chowk Baramulla, Baramulla",gmcbaramulla.com,State Government,2020,No,Rural,,2020,2020
